age,income,credit_score,loan_term,loan_amount,monthly_installment,interest_rate,repayment_status
63,121480,674,60,35000,406.218,13.7,0
50,80140,704,12,24500,273.945,12.31,0
28,142510,735,24,35000,297.258,9.77,1
28,89483,589,60,14000,81.101,6.84,0
46,78697,403,48,7000,43.543,7.31,0
36,71631,559,36,7000,58.148,9.69,1
35,105428,682,12,35000,233.665,7.35,0
47,148221,403,24,10000,105.045,12.09,0
60,114873,486,48,10000,43.21,5.08,0
33,136471,524,24,10000,59.586,6.85,1
21,40004,790,48,20000,133.466,7.84,0
46,33937,349,24,4000,41.178,11.84,0
51,108222,462,36,10000,127.41,14.87,0
45,53958,354,24,7000,31.305,5.14,1
54,74389,739,60,24500,269.029,12.96,0
37,72601,741,24,35000,440.416,14.48,0
41,56870,471,48,7000,44.626,7.49,0
39,78040,673,12,24500,172.233,7.74,0
30,139505,769,36,50000,453.528,10.58,0
57,121863,356,12,10000,62.888,6.92,1
37,139117,319,12,10000,93.977,10.35,1
59,82912,443,24,7000,36.311,5.97,1
25,72727,462,48,7000,45.977,7.72,0
56,92774,831,24,35000,314.126,10.33,0
47,109608,464,24,10000,79.292,9.12,1
40,135717,553,12,10000,73.981,8.14,1
52,73623,313,12,7000,93.808,14.76,0
49,136277,739,48,35000,341.103,11.45,0
58,148976,600,12,20000,161.188,8.87,1
60,115828,569,60,10000,77.199,9.11,0
21,92760,370,36,7000,43.041,7.17,1
32,101332,615,60,20000,222.386,13.12,0
27,134693,826,24,50000,223.555,5.14,0
48,108117,435,36,10000,73.523,8.58,1
33,125731,807,60,50000,501.196,11.83,0
64,115188,840,60,50000,579.157,13.67,0
50,77304,835,48,35000,339.015,11.38,0
61,64739,787,36,35000,264.506,8.82,0
51,66606,757,60,35000,152.046,5.13,0
44,127003,423,12,10000,98.658,10.86,1
49,60387,534,24,7000,42.466,6.98,1
40,115660,407,24,10000,109.501,12.6,0
40,98263,836,24,35000,455.192,14.96,0
46,101276,463,24,10000,56.027,6.44,1
48,36691,372,60,4000,36.71,10.83,0
56,96741,821,60,35000,152.77,5.15,0
42,60071,542,48,7000,75.061,12.6,0
57,54995,315,60,7000,70.768,11.93,0
33,68253,621,60,14000,168.08,14.17,0
23,65987,797,48,35000,362.211,12.16,0
25,105675,324,60,10000,123.762,14.61,0
43,91914,559,12,7000,90.273,14.2,0
43,106367,398,60,10000,117.862,13.91,0
34,44719,458,36,4000,22.909,6.68,0
39,96502,685,12,24500,214.25,9.63,1
29,128898,651,36,20000,182.652,10.66,1
45,51676,767,24,35000,232.807,7.65,0
60,60544,792,36,35000,402.178,13.41,0
31,69615,841,24,35000,331.75,10.9,0
64,96533,493,24,7000,36.495,6.0,1
29,137384,374,36,10000,49.343,5.76,1
49,57313,479,24,7000,85.664,14.08,0
24,67138,711,48,24500,221.359,10.62,0
28,93080,730,48,24500,264.214,12.67,0
36,89534,516,24,7000,32.936,5.41,1
25,148803,799,36,50000,549.936,12.84,0
40,127473,660,12,20000,157.05,8.64,1
42,134500,816,24,50000,633.798,14.58,0
58,132230,540,60,10000,46.661,5.51,0
32,67847,556,60,7000,74.848,12.62,0
26,76843,821,36,35000,243.534,8.12,0
49,117701,761,36,50000,386.097,9.01,0
49,57438,593,12,14000,102.758,8.08,1
32,61190,639,48,14000,174.851,14.68,0
48,98385,512,60,7000,88.503,14.92,0
21,113202,811,60,50000,547.18,12.92,0
33,76364,374,12,7000,37.734,5.93,1
22,149763,305,36,10000,45.142,5.27,1
39,31327,531,24,4000,33.572,9.66,0
31,30773,742,48,20000,171.63,10.09,0
41,102422,335,48,10000,71.397,8.39,0
25,135096,518,48,10000,44.635,5.25,0
63,147030,367,36,10000,77.993,9.1,1
64,146111,459,12,10000,50.893,5.6,1
51,125988,330,24,10000,126.57,14.56,0
34,127064,444,36,10000,117.487,13.71,0
37,138654,353,24,10000,127.814,14.71,0
65,100444,489,24,10000,104.359,12.01,0
42,31603,635,12,8000,40.297,5.54,1
56,86637,770,60,35000,191.536,6.46,0
52,45124,516,12,4000,40.843,11.24,0
55,97844,667,24,14000,163.051,13.4,0
25,104914,311,48,10000,112.717,13.25,0
44,86250,828,48,35000,321.65,10.8,0
41,71793,727,24,24500,245.213,11.51,0
55,109556,734,36,35000,277.593,9.26,0
57,68187,630,24,14000,65.882,5.41,0
29,70166,761,60,35000,354.149,11.94,0
42,50944,618,48,14000,175.467,14.73,0
60,137749,587,12,20000,263.683,14.52,0
50,31405,709,12,14000,110.585,8.69,0
65,39560,778,60,20000,211.266,12.47,0
21,56585,648,48,14000,69.407,5.83,0
28,108871,549,12,10000,115.549,12.72,0
65,35372,814,60,20000,205.58,12.13,0
57,134934,514,48,10000,64.853,7.62,0
27,115705,657,36,20000,117.142,6.83,1
39,68806,340,24,7000,34.407,5.65,1
41,143092,757,12,50000,422.982,9.31,0
62,101969,845,24,50000,565.58,13.01,0
52,35093,512,48,4000,35.236,10.35,0
25,44994,458,48,4000,38.866,11.42,0
35,33596,471,36,4000,19.933,5.81,0
52,83935,720,12,24500,276.644,12.43,0
28,99510,329,48,7000,83.144,13.96,0
65,45802,616,24,8000,36.85,5.3,0
30,144681,410,12,10000,63.629,7.0,1
39,109938,833,24,50000,394.621,9.08,0
27,149782,785,12,50000,340.059,7.49,0
42,82973,751,12,35000,180.668,5.68,0
39,99806,514,12,7000,42.336,6.66,1
36,87502,334,36,7000,87.99,14.67,0
26,146383,580,24,20000,149.11,8.58,1
30,125640,649,24,20000,98.167,5.65,1
61,31257,353,24,4000,34.282,9.86,0
26,37486,659,36,8000,51.042,7.45,1
45,67929,729,12,24500,237.62,10.68,0
21,145336,536,24,10000,62.528,7.19,1
62,70573,440,12,7000,66.397,10.44,0
54,40136,307,60,4000,26.093,7.7,0
28,148284,556,12,10000,52.177,5.74,1
44,114888,605,24,20000,256.043,14.73,0
57,115302,717,48,35000,291.194,9.78,0
32,64427,756,48,35000,417.186,14.01,0
64,132074,356,24,10000,85.112,9.79,1
40,82390,480,12,7000,58.037,9.13,1
40,129795,434,12,10000,78.143,8.6,1
40,124910,510,24,10000,129.939,14.95,0
45,91356,308,36,7000,37.266,6.21,1
45,81945,520,24,7000,46.414,7.63,1
38,126675,434,12,10000,114.919,12.65,0
52,62612,611,48,14000,66.565,5.59,0
53,75032,370,36,7000,87.617,14.61,0
33,31661,807,24,20000,90.889,5.23,0
53,60088,402,12,7000,69.567,10.94,1
39,68301,344,24,7000,53.124,8.73,1
38,104076,526,60,10000,95.438,11.26,0
39,42889,793,12,20000,159.543,8.78,0
30,34491,780,12,20000,271.382,14.94,0
49,127093,351,48,10000,92.982,10.93,0
55,63428,636,60,14000,61.601,5.19,0
50,145397,300,24,10000,55.407,6.37,1
34,147358,521,24,10000,52.638,6.05,1
57,39479,767,12,20000,157.904,8.69,0
25,136198,306,48,10000,61.516,7.23,0
43,32464,420,12,4000,25.223,6.94,0
46,54415,300,48,7000,45.193,7.59,0
61,146898,538,48,10000,104.349,12.26,0
64,36581,533,12,4000,54.152,14.91,0
62,118104,569,12,10000,72.918,8.03,1
45,146971,346,60,10000,121.81,14.38,0
34,122263,412,12,10000,93.482,10.29,1
30,106460,585,36,20000,235.0,13.71,0
35,60011,507,24,7000,55.311,9.09,1
57,129109,506,36,10000,52.39,6.11,1
21,42171,308,48,4000,21.359,6.27,0
45,53994,323,36,7000,63.196,10.54,1
57,56326,748,24,35000,324.64,10.67,0
21,33868,844,24,20000,207.102,11.91,0
50,59282,442,48,7000,74.755,12.55,0
37,119465,360,24,10000,72.079,8.29,1
24,120687,805,60,50000,317.897,7.5,0
48,47009,446,24,4000,47.221,13.58,0
22,34503,354,12,4000,44.409,12.22,0
45,143460,717,60,35000,290.9,9.81,0
62,99637,698,60,24500,212.03,10.21,0
54,146707,812,60,50000,292.454,6.9,0
38,89259,786,12,35000,368.577,11.59,0
43,129018,643,60,20000,108.564,6.41,0
31,80043,445,36,7000,41.657,6.94,1
35,123497,573,12,10000,52.169,5.74,1
64,97152,625,60,14000,172.082,14.51,0
35,87212,653,24,14000,80.226,6.59,1
26,78634,847,36,35000,284.175,9.47,0
33,134539,594,12,20000,160.242,8.82,1
36,38518,376,48,4000,32.749,9.62,0
28,62037,592,48,14000,105.747,8.88,0
38,51174,415,36,7000,38.265,6.38,1
24,141091,718,36,35000,394.749,13.16,0
60,48282,607,24,8000,50.534,7.27,0
32,31501,748,24,20000,122.461,7.04,0
21,94581,310,12,7000,68.158,10.72,1
58,30401,635,36,8000,65.719,9.59,0
21,97683,484,60,7000,85.719,14.45,0
46,93162,584,48,14000,70.766,5.94,0
55,132533,635,36,20000,159.959,9.33,1
57,76620,434,36,7000,80.027,13.34,0
26,122222,469,60,10000,52.37,6.18,0
48,76744,770,60,35000,241.063,8.13,0
55,127475,395,12,10000,99.791,10.99,1
54,42942,571,60,4000,18.7,5.52,0
64,122339,778,48,50000,429.061,10.08,0
21,114941,468,60,10000,60.478,7.14,0
59,79324,783,24,35000,171.051,5.62,0
39,139130,567,36,10000,51.218,5.98,1
54,93206,635,60,14000,157.932,13.31,0
31,127040,321,36,10000,92.052,10.74,1
41,118818,800,24,50000,643.449,14.81,0
47,65551,438,12,7000,76.048,11.96,1
37,108796,606,48,20000,241.902,14.22,0
36,92005,824,60,35000,272.346,9.18,0
63,140012,787,12,50000,302.712,6.66,0
46,115091,463,48,10000,98.977,11.63,0
46,37706,486,24,4000,51.949,14.94,0
51,126642,694,36,35000,162.757,5.43,1
44,107283,819,12,50000,427.961,9.42,0
63,84484,825,24,35000,230.713,7.58,0
27,51611,786,12,35000,200.912,6.32,0
63,78557,400,24,7000,46.396,7.62,0
43,73306,462,12,7000,59.411,9.34,1
40,54359,549,48,7000,34.97,5.87,0
54,42798,769,48,20000,162.684,9.56,0
22,141092,549,60,10000,60.584,7.15,0
38,85199,548,36,7000,61.202,10.2,1
31,122415,484,12,10000,101.741,11.2,1
21,57859,506,48,7000,31.07,5.22,0
42,68581,360,12,7000,46.565,7.32,1
44,74932,425,36,7000,33.024,5.5,1
36,35415,447,12,4000,26.81,7.38,0
37,42634,500,36,4000,47.622,13.89,0
56,37473,375,24,4000,29.795,8.57,0
47,143188,846,36,50000,364.433,8.51,0
29,119566,803,60,50000,390.247,9.21,0
33,37686,356,48,4000,31.545,9.27,0
64,123115,491,24,10000,113.842,13.1,0
47,115533,816,48,50000,543.559,12.78,0
32,128589,653,12,20000,244.293,13.45,0
22,70690,510,24,7000,91.034,14.96,0
47,47312,429,36,4000,24.87,7.25,0
22,68636,311,36,7000,86.386,14.4,0
63,65218,313,12,7000,56.117,8.82,0
29,64390,730,24,24500,281.245,13.21,0
35,32854,820,48,20000,110.646,6.5,0
63,40799,492,48,4000,35.643,10.47,0
28,148261,578,48,10000,84.764,9.96,0
49,40475,710,36,14000,123.371,10.28,0
43,132429,641,36,20000,245.982,14.35,0
48,102127,718,24,35000,207.754,6.83,0
34,93294,672,36,24500,105.428,5.02,1
43,102189,666,60,20000,104.927,6.19,0
30,136260,700,60,35000,366.129,12.35,0
56,35816,361,60,4000,27.143,8.01,0
22,114878,633,36,20000,232.268,13.55,0
55,74772,558,36,7000,78.019,13.01,0
23,86183,842,60,35000,421.671,14.22,0
32,126929,815,36,50000,309.199,7.22,0
26,95859,736,60,24500,169.485,8.16,0
48,145769,563,24,10000,72.252,8.31,1
21,66442,630,60,14000,88.868,7.49,0
23,119054,498,36,10000,115.941,13.53,0
40,67503,560,48,7000,41.403,6.95,0
62,88860,755,60,35000,347.878,11.73,0
37,118370,763,12,50000,610.048,13.43,0
48,36410,763,36,20000,111.028,6.48,0
26,94928,718,36,24500,295.485,14.08,0
63,53768,613,36,14000,114.821,9.57,0
60,95437,680,36,24500,194.599,9.27,1
58,73592,435,12,7000,39.292,6.18,0
57,49473,381,12,4000,19.004,5.23,0
52,68428,559,36,7000,87.479,14.58,0
54,77470,745,24,35000,348.704,11.46,0
33,104664,362,36,10000,111.41,13.0,0
27,142709,551,36,10000,102.664,11.98,1
54,69525,602,60,14000,148.359,12.51,0
55,78885,803,24,35000,292.603,9.62,0
40,55090,441,60,7000,45.255,7.63,0
41,110590,658,48,20000,187.376,11.01,0
40,149305,307,24,10000,58.865,6.77,1
62,96508,783,36,35000,406.865,13.57,0
23,39430,827,12,20000,234.641,12.92,0
29,131758,324,12,10000,92.835,10.22,1
38,62218,454,36,7000,81.809,13.64,0
45,108352,387,24,10000,53.517,6.16,1
53,46068,796,60,20000,178.676,10.54,0
33,54840,750,24,35000,451.574,14.85,0
24,37548,697,60,14000,66.895,5.64,0
28,75307,405,36,7000,49.401,8.24,1
51,49462,672,60,14000,81.865,6.9,0
62,81330,685,12,24500,147.268,6.62,0
49,90164,574,24,7000,89.365,14.69,0
35,52318,821,24,35000,357.411,11.75,0
50,41662,519,48,4000,25.008,7.35,0
24,82186,302,48,7000,69.768,11.71,0
25,97732,473,48,7000,59.35,9.96,0
47,69435,646,12,14000,139.475,10.97,1
47,103869,648,60,20000,95.935,5.66,0
59,95710,809,48,35000,236.42,7.94,0
56,118420,519,12,10000,48.133,5.3,1
65,101635,412,24,10000,122.637,14.11,0
46,125536,604,12,20000,99.749,5.49,1
49,42582,750,48,20000,180.013,10.58,0
38,71817,356,60,7000,35.689,6.02,0
21,80182,755,24,35000,259.738,8.54,0
25,82736,670,24,24500,276.017,12.96,0
53,89440,718,48,24500,110.898,5.32,0
32,47358,681,24,14000,151.996,12.49,0
46,121734,828,60,50000,489.265,11.55,0
40,134092,589,24,20000,213.022,12.25,0
46,110340,352,12,10000,121.904,13.42,0
35,38837,315,48,4000,32.505,9.55,0
45,148837,564,48,10000,116.666,13.71,0
57,95279,816,48,35000,296.385,9.95,0
43,125433,349,48,10000,43.45,5.11,0
27,70419,522,12,7000,56.525,8.89,1
58,119595,814,12,50000,309.527,6.81,0
26,110308,415,24,10000,46.188,5.31,1
38,76210,812,12,35000,432.081,13.59,0
44,88356,574,48,7000,64.262,10.79,0
40,110565,844,24,50000,301.613,6.94,0
41,51124,301,12,7000,63.007,9.91,1
32,146864,843,60,50000,244.856,5.78,0
45,143105,560,60,10000,113.267,13.37,0
54,98566,330,48,7000,89.176,14.97,0
24,76648,515,12,7000,56.714,8.92,1
46,65941,601,36,14000,173.051,14.43,0
61,123333,753,48,50000,345.52,8.12,0
34,43088,464,24,4000,48.049,13.82,0
33,96333,322,12,7000,89.96,14.15,0
28,130075,692,24,35000,184.291,6.06,1
44,113327,412,36,10000,78.815,9.2,1
36,97607,517,24,7000,37.156,6.11,1
52,69577,718,36,24500,188.559,8.98,0
30,123935,417,24,10000,109.419,12.59,0
34,128551,734,24,35000,280.115,9.21,1
53,34254,473,36,4000,47.149,13.76,0
44,52731,467,24,7000,61.24,10.06,1
35,102541,606,36,20000,106.801,6.23,1
48,120727,764,60,50000,591.258,13.96,0
24,143318,303,48,10000,125.962,14.8,0
42,44907,513,36,4000,34.82,10.16,0
23,115911,833,36,50000,460.319,10.74,0
62,69839,675,48,24500,108.717,5.21,0
50,31453,690,24,14000,159.361,13.1,0
29,84571,565,48,7000,75.749,12.72,0
30,57313,845,60,35000,333.595,11.25,0
46,143732,411,60,10000,58.82,6.94,0
62,136957,650,24,20000,161.599,9.3,1
46,34430,820,12,20000,205.105,11.29,0
50,90651,837,24,35000,452.759,14.88,0
34,119932,471,24,10000,68.689,7.9,1
51,132186,655,36,20000,123.649,7.21,1
43,50643,687,24,24500,199.124,9.35,0
44,82768,750,24,35000,440.349,14.48,0
24,99564,771,60,35000,183.177,6.18,0
55,85290,480,24,7000,44.063,7.24,1
40,96284,410,12,7000,94.238,14.83,0
60,52050,668,48,14000,159.026,13.35,0
54,90558,644,24,14000,138.53,11.38,1
51,112978,539,12,10000,60.736,6.68,1
28,51719,767,48,35000,278.769,9.36,0
31,58393,808,48,35000,366.596,12.31,0
29,69999,796,12,35000,245.243,7.71,0
32,63862,699,12,24500,201.859,9.07,0
51,51015,528,60,7000,82.314,13.88,0
50,69123,723,12,24500,265.365,11.92,0
47,33559,589,60,8000,34.878,5.14,0
31,51192,607,48,14000,163.678,13.74,0
27,63672,641,24,14000,153.293,12.6,0
55,143493,642,48,20000,103.974,6.11,0
63,78922,717,12,24500,308.451,13.86,0
35,134405,684,12,35000,310.75,9.77,1
30,80533,812,48,35000,182.086,6.11,0
53,98808,721,60,24500,141.527,6.82,0
37,97079,593,36,14000,165.909,13.83,0
40,104290,618,36,20000,129.702,7.57,1
30,124941,726,36,35000,169.171,5.64,1
43,148315,322,24,10000,89.554,10.3,1
46,120299,457,60,10000,76.036,8.97,0
27,84941,445,48,7000,80.002,13.43,0
28,90852,587,60,14000,124.062,10.46,0
62,149702,671,36,35000,440.905,14.7,0
58,54076,679,12,24500,256.194,11.51,0
61,133437,663,12,20000,91.008,5.01,1
65,97275,706,36,24500,225.012,10.72,1
58,128905,843,36,50000,462.141,10.79,0
56,87255,474,36,7000,51.607,8.6,1
31,131022,738,24,35000,409.046,13.45,0
56,129327,505,24,10000,81.326,9.36,1
29,75600,457,12,7000,80.964,12.73,0
33,119710,560,24,10000,51.168,5.89,1
43,65695,724,60,24500,246.895,11.89,0
43,104864,447,60,10000,100.397,11.85,0
65,95777,541,48,7000,82.267,13.81,0
60,47956,430,12,4000,31.611,8.7,0
52,125946,733,48,35000,183.642,6.17,0
65,33740,473,48,4000,17.161,5.04,0
22,145932,485,12,10000,113.267,12.47,0
32,86894,522,36,7000,51.426,8.57,1
53,42092,682,48,14000,134.757,11.31,0
45,70629,579,24,7000,77.493,12.74,0
29,124332,387,60,10000,106.001,12.51,0
29,44147,420,60,4000,24.01,7.08,0
61,101738,672,24,35000,337.004,11.08,0
58,80751,560,24,7000,40.761,6.7,1
45,140088,734,48,35000,316.405,10.62,0
55,123839,480,48,10000,44.119,5.18,0
63,148195,765,48,50000,310.552,7.3,0
40,50819,686,24,24500,262.451,12.32,0
47,62481,846,36,35000,310.031,10.34,0
54,69463,694,24,24500,132.506,6.22,0
62,105335,633,36,20000,182.915,10.67,1
44,54243,386,36,7000,81.936,13.66,0
34,125702,804,24,50000,647.815,14.91,0
46,119518,558,36,10000,53.747,6.27,1
61,52277,313,36,7000,68.151,11.36,0
42,57297,321,60,7000,68.165,11.49,0
53,109673,510,48,10000,86.889,10.21,0
63,131176,695,48,35000,356.133,11.96,0
43,39485,435,48,4000,50.566,14.86,0
37,33286,785,48,20000,159.438,9.37,0
41,137212,376,60,10000,122.453,14.45,0
60,148586,527,12,10000,93.295,10.27,1
26,94629,615,36,14000,157.149,13.1,0
38,140870,503,36,10000,81.102,9.46,1
58,81749,430,60,7000,86.634,14.61,0
25,40900,640,12,8000,89.764,12.35,0
46,59738,349,36,7000,68.092,11.35,1
44,91607,836,12,35000,379.011,11.92,0
29,101861,545,12,10000,46.402,5.11,1
30,62366,794,24,35000,363.338,11.94,0
40,80475,834,48,35000,408.383,13.71,0
60,77851,380,48,7000,82.378,13.83,0
56,44886,583,48,8000,58.162,8.54,0
55,129469,512,60,10000,112.338,13.26,0
47,129634,797,36,50000,232.993,5.44,0
25,146797,838,36,50000,506.36,11.82,0
42,64141,760,48,35000,380.05,12.76,0
62,128665,536,60,10000,124.094,14.65,0
64,110327,474,24,10000,99.842,11.49,1
57,47850,338,12,4000,37.361,10.28,0
55,43307,574,12,4000,50.75,13.97,0
56,118883,394,12,10000,130.269,14.34,0
35,37357,509,24,4000,31.452,9.05,0
62,38811,782,12,20000,127.955,7.04,0
31,141579,738,60,35000,277.335,9.35,0
50,93550,513,48,7000,39.653,6.66,0
54,90963,757,36,35000,382.383,12.75,0
29,146153,643,36,20000,215.566,12.58,0
33,148611,746,24,50000,242.421,5.58,0
28,86179,810,24,35000,276.571,9.09,0
28,48316,713,24,14000,148.484,12.2,0
49,146826,660,12,20000,124.72,6.86,1
42,87997,557,60,7000,78.131,13.17,0
39,55993,730,60,24500,272.586,13.13,0
52,74023,819,36,35000,388.447,12.95,0
24,125193,833,36,50000,543.813,12.69,0
24,122991,675,36,35000,286.321,9.55,1
46,111969,528,60,10000,71.598,8.45,0
33,132290,739,12,35000,422.214,13.28,0
30,63362,728,36,24500,199.621,9.51,0
64,141393,637,60,20000,225.24,13.29,0
58,58566,565,60,7000,43.899,7.4,0
38,92614,754,12,35000,188.765,5.94,0
34,147510,564,48,10000,97.127,11.41,0
54,79540,846,24,35000,199.157,6.55,0
54,137882,351,12,10000,73.895,8.13,1
63,127473,394,48,10000,78.955,9.28,0
39,129488,598,36,20000,101.696,5.93,1
58,122785,630,24,20000,228.994,13.17,0
28,146130,571,48,10000,66.939,7.87,0
34,67476,324,48,7000,76.081,12.77,0
54,115722,849,60,50000,291.38,6.88,0
36,149253,486,24,10000,92.571,10.65,1
40,66076,364,12,7000,82.312,12.95,0
44,53991,721,60,24500,271.103,13.06,0
51,34562,414,36,4000,20.265,5.91,0
30,83498,604,24,14000,113.939,9.36,1
45,81116,540,36,7000,55.869,9.31,1
61,51156,727,12,24500,257.54,11.57,0
31,141728,463,24,10000,67.519,7.77,1
57,141118,778,60,50000,516.539,12.19,0
51,137027,684,60,35000,223.777,7.55,0
45,96506,535,36,7000,84.522,14.09,0
23,69569,439,48,7000,63.272,10.62,0
63,123013,427,24,10000,120.725,13.89,0
42,90393,660,60,14000,77.607,6.54,0
24,102548,590,12,20000,110.553,6.08,1
44,61886,713,12,24500,312.374,14.04,0
46,87674,756,12,35000,278.746,8.77,0
64,75582,804,12,35000,340.599,10.71,0
28,91712,564,36,7000,59.084,9.85,1
38,102032,410,48,10000,127.453,14.98,0
23,137053,837,36,50000,584.438,13.64,0
61,139230,421,24,10000,64.251,7.39,1
29,102542,771,24,50000,385.254,8.86,0
60,57002,635,36,14000,136.436,11.37,0
41,137009,713,36,35000,242.664,8.09,1
38,84852,696,12,24500,146.24,6.57,1
59,59671,575,24,7000,40.268,6.62,0
39,129589,326,60,10000,69.364,8.19,0
40,75098,342,48,7000,78.811,13.23,0
50,85446,817,12,35000,278.298,8.75,0
60,73168,473,60,7000,53.998,9.1,0
56,72886,462,12,7000,43.179,6.79,0
52,149993,436,36,10000,56.34,6.57,1
23,126660,796,12,50000,475.061,10.46,0
52,129113,404,60,10000,111.913,13.21,0
36,125098,642,36,20000,199.799,11.66,1
54,130375,313,24,10000,126.53,14.56,0
30,103654,850,36,50000,551.555,12.87,0
32,74190,627,36,14000,178.111,14.85,0
21,94944,519,12,7000,50.645,7.96,1
32,49178,605,36,8000,56.771,8.28,1
31,128163,616,36,20000,234.772,13.7,0
64,104828,625,12,20000,166.835,9.18,1
53,62599,776,12,35000,345.222,10.86,0
40,58737,343,12,7000,69.608,10.95,1
49,38566,650,24,8000,92.839,13.35,0
29,99626,708,48,24500,282.168,13.54,0
58,104419,707,12,35000,293.696,9.24,0
46,139959,756,12,50000,424.922,9.35,0
38,115319,443,48,10000,81.036,9.52,0
33,61629,728,36,24500,154.958,7.38,0
62,124557,596,48,20000,95.834,5.63,0
34,101879,367,24,10000,67.704,7.79,1
46,55950,832,12,35000,407.932,12.83,0
43,61081,442,24,7000,55.806,9.17,1
38,82880,498,60,7000,55.797,9.41,0
65,44288,539,60,4000,40.418,11.93,0
34,53019,811,60,35000,351.534,11.85,0
24,109409,636,60,20000,233.064,13.75,0
43,101475,551,60,10000,70.224,8.29,0
32,43505,611,60,8000,54.446,8.03,0
45,100327,322,36,10000,62.929,7.34,1
25,74264,328,36,7000,57.426,9.57,1
42,57538,370,48,7000,78.105,13.11,0
32,110311,338,36,10000,60.114,7.01,1
43,113848,756,60,50000,458.593,10.82,0
59,47246,728,48,14000,120.401,10.11,0
56,38478,322,36,4000,37.696,11.0,0
54,53296,615,60,14000,133.386,11.24,0
58,51977,450,24,7000,35.249,5.79,0
47,109172,835,36,50000,519.575,12.13,0
55,120648,387,36,10000,82.348,9.61,1
54,108241,686,60,35000,290.192,9.78,0
48,45196,438,24,4000,37.554,10.8,0
44,94955,805,60,35000,305.517,10.3,0
52,113523,567,48,10000,48.415,5.69,0
32,59029,333,48,7000,43.546,7.31,0
29,81173,386,36,7000,68.408,11.4,1
35,74635,408,12,7000,86.109,13.55,0
38,147200,449,24,10000,44.416,5.11,1
36,38345,746,36,20000,172.174,10.05,0
38,50805,611,24,14000,63.272,5.2,1
41,96206,654,12,14000,135.575,10.66,1
55,31868,692,24,14000,70.196,5.77,0
54,139767,744,24,50000,381.518,8.78,0
29,121639,366,60,10000,99.753,11.77,0
39,41953,755,36,20000,218.726,12.76,0
52,113939,693,36,35000,361.074,12.04,0
40,110114,527,12,10000,128.299,14.13,0
49,143789,840,36,50000,411.747,9.61,0
24,146940,325,12,10000,76.915,8.47,1
58,113690,632,48,20000,218.563,12.84,0
21,65831,750,36,35000,254.279,8.48,0
47,126539,442,12,10000,46.673,5.14,1
30,142740,840,24,50000,293.193,6.75,0
44,113789,776,12,50000,453.805,9.99,0
52,72415,788,48,35000,200.799,6.74,0
64,45286,504,12,4000,29.445,8.1,0
43,90001,536,48,7000,31.323,5.26,0
61,40863,812,12,20000,100.841,5.55,0
28,141703,318,24,10000,127.683,14.69,0
57,90218,599,12,14000,81.61,6.42,1
27,109745,762,12,50000,422.227,9.3,0
31,143404,427,12,10000,127.494,14.04,0
52,127096,601,12,20000,102.751,5.65,1
39,144969,844,60,50000,363.813,8.59,0
24,126955,305,36,10000,101.882,11.89,1
59,64115,431,60,7000,47.034,7.93,0
47,49677,504,12,4000,26.9,7.4,0
28,76615,749,24,35000,189.58,6.23,0
30,77921,404,12,7000,52.015,8.18,1
34,55792,573,48,7000,66.912,11.23,0
22,137962,659,12,20000,107.292,5.9,1
33,89885,815,36,35000,341.225,11.38,0
29,56430,580,24,14000,110.484,9.08,1
55,109247,809,24,50000,352.851,8.12,0
33,62564,403,12,7000,58.548,9.21,1
33,140946,787,12,50000,485.392,10.69,0
35,38678,679,60,14000,167.448,14.12,0
53,114402,585,48,20000,165.573,9.73,0
38,117714,413,24,10000,116.723,13.43,0
43,35943,460,48,4000,40.889,12.01,0
45,99219,637,60,14000,82.48,6.95,0
37,137211,587,12,20000,254.857,14.03,0
34,85395,432,48,7000,87.094,14.62,0
55,103690,845,36,50000,472.734,11.03,0
64,85675,693,24,24500,182.97,8.59,1
65,79747,707,60,24500,188.747,9.09,0
61,106957,848,48,50000,394.121,9.26,0
37,44536,310,60,4000,42.148,12.44,0
58,56264,434,48,7000,74.011,12.43,0
56,46680,350,36,4000,42.645,12.44,0
64,124115,586,12,20000,141.118,7.77,1
35,56258,765,48,35000,394.581,13.25,0
47,127685,513,48,10000,96.543,11.35,0
62,138290,480,12,10000,94.686,10.42,1
44,72392,761,36,35000,243.0,8.1,0
23,76532,629,12,14000,97.01,7.63,1
39,117593,360,48,10000,69.146,8.13,0
47,129439,847,48,50000,585.824,13.77,0
53,54395,425,24,7000,64.482,10.6,1
47,75824,478,24,7000,33.399,5.49,1
64,30118,459,60,4000,39.308,11.6,0
37,64627,659,24,14000,149.61,12.29,0
43,90301,382,36,7000,57.572,9.6,1
41,79356,374,60,7000,60.726,10.24,0
27,62503,615,48,14000,106.207,8.92,0
35,31730,691,24,14000,178.753,14.69,0
59,53210,779,48,35000,339.005,11.38,0
33,85015,800,12,35000,160.59,5.05,0
45,123442,336,36,10000,113.049,13.19,0
42,40311,624,36,8000,54.909,8.01,1
53,50561,411,12,7000,58.073,9.13,1
52,149851,617,24,20000,158.791,9.13,1
51,74919,443,12,7000,64.942,10.21,1
41,38032,351,36,4000,25.111,7.33,0
32,87249,506,24,7000,60.859,10.0,1
26,73027,322,12,7000,70.362,11.07,1
48,113051,836,48,50000,565.154,13.28,0
26,61427,771,48,35000,298.886,10.04,0
55,105904,517,60,10000,80.77,9.53,0
48,125420,514,48,10000,65.205,7.66,0
